spec_id,name,attribute,type,parent_skill,gate,description
basic_schoolastic_mastery,Basic Schoolastic Mastery,INT,Support,Knowledge,Skill 10,"The ability to research a wide variety of knowledges related to the parent knowledge, this is a ever growing skill, the more knowledge you posess the bigger its influence"
encyclopedia,Encyclopedia,INT,Support,Knowledge,Skill 10,"a simple generalized knowledge focused on knowing about the definition of a lot of things, its useful when traveling and has a large syngergy with appraisal skill"
high_knowledge,High Knowledge,INT,Support,Knowledge,Skill 10,"The ability access a particular branch of a parent knowledge, unlike the parent knowledge which is rather generalistic this is a specific form of knowlege much more focused and much more detailed about a particular subject"
caligraphy,Caligraphy,INT,Support,Linguistics,Skill 10,"Calligraphy is considered an art form by many, but it can be used in many ways as a means to deliver messages or as way to gain enlightment"
encoding,Encoding,INT,Support,Linguistics,Skill 10,"the ability to cipher, decipher and compress data into encoded messages, its a highly sought knowledge since most magical messages must be coded in someway. Its possible to create a cipher codex in order to create simplified cipher for common people"
inhuman_linguistics,Inhuman Linguistics,INT,Support,Linguistics,Skill 10,"the ability to translate ancient and lost languages provided that you have sufficient material to produce a codex. Otherwise, it also can generate a simplified codex of a language using enought data"
adept_lockpicking_inter,Adept Lockpicking (Inter),INT,Support,Lockpick,Skill 10,the ability to open adept level devises such as professional locks or 2nd tier locks
sabotague,Sabotague,INT,Support,Lockpick,Skill 10,the ability to break down and produce malfunction on simple mechanical devises
security_adept_basic,Security Adept (Basic),INT,Support,Lockpick,Skill 10,the skill to understand security breaches and analyze how to best protect a enclosed location
common_magic_object,Common Magic Object,INT,Support,Magic Object,Skill 10,common objects such as rings and wands usually endowed with charges and commonly used by mages and commons
defense_magic_object,Defense Magic Object,INT,Support,Magic Object,Skill 10,"objects specialized in defense and protection from magical rings, energy fields to structural defensive enchantments used only by mages usually by their large mana cost"
scrying_magic_object,Scrying Magic Object,INT,Support,Magic Object,Skill 10,objects specialized in information transmision and detection often used by pure mages to scout large zones or informatiion visualization
snare_master,Snare Master,INT,Support,Trapper,Skill 10,the ability to use traps hidden in plain sight
trap_seeker,Trap Seeker,INT,Support,Trapper,Skill 10,the proficiency to search for traps in a short amount of time
trapcraft,Trapcraft,INT,Support,Trapper,Skill 10,the ability to craft simple traps using simple natural resources
danger_alert,Danger Alert,PER,Support,Alert,Skill 10,a developed sense about perceiving danger when in alert circumstances by reading subtle changes in the ambiance
heightened_senses_listening,Heightened Senses (Listening),PER,Support,Alert,Skill 10,the proficiency to enhace your audition to distinguish small noises and perceive farther
heightened_senses_smell,Heightened Senses (Smell),PER,Support,Alert,Skill 10,the proficiency to enhace your sense of smell to distinguish and become sensitive to details
heightened_senses_vision,Heightened Senses (Vision),PER,Support,Alert,Skill 10,the proficiency to enhace your vision senses to perceive farther and more clear
watchful_alert,Watchful Alert,PER,Support,Alert,Skill 10,"the ability to keep your alert in a constant state of seeking ""something"""
human_assessment,Human Assessment,PER,Support,Appraisal,Skill 10,"The ability to appraise humanoid qualities on a target, it is used mostly by slavers and slave comerce in order to determine the ""quality"" of a humanoid target. The skill provides extra information such as a physical conditions, underlying medical details, and any superficial information."
judgment_item,Judgment (Item),PER,Support,Appraisal,Skill 10,"The ability to understand items and products and class them into ranks and levels, it allows the user to understand items highlights and downsides of an item, moreover, a raise will allow the user to learn about the item from the market perspective such as rumors and basic superficial lore. It can be used to uncover an items basic abilties and passives, higher levels of the skill allow the user to know more"
lesser_anti-forgery,Lesser Anti-Forgery,PER,Support,Appraisal,Skill 10,"The ability to see throught fake items and similar counterfeit elements such as counterfeit money, smuggled items and similar items trying to pass as normal while beign imitations or fake."
combat_coordination_inter,Combat Coordination (inter),PER,Support,Battle,Skill 10,"the skill to work in teams and exploit the potential of coordination in the battlefield, it includes coordinated manuvers, combination techniques or simply groupal actions. This skill bonus all forms of singular combinations where the user is part of the action at the individual level, however, groupal actions needs the user to be the leader in order for this skill to be effective"
guerrilla_warfare_basic,Guerrilla Warfare (Basic),PER,Support,Battle,Skill 10,"use of specific military tactics including ambushes, sabotage, raids, petty warfare, hit-and-run tactics, and mobility, to fight a larger and less-mobile traditional military, it emphatizes heavily on sabotage and escape so it requieres certain knowledge of the battlefield and a good amount of movility."
tactical_trickster_inter,Tactical Trickster (Inter),PER,Support,Battle,Skill 10,"the use of tactics in order to influence the battlefield on a small unipersonal or group based conflicts. The trickster skill allows the user to perform tactical manouver in the battlefield to mislead the enemy and give him the wrong impresión, it can also be used to block other people tactical reading of a circumstance"
interrogation,Interrogation,PER,Support,Investigation,Skill 10,the ability to extract information from a target using you observation power along with your skill in order break away lies and deceit
lesser_enigma,Lesser Enigma,PER,Support,Investigation,Skill 10,"Logic problems, puzzles and mysteries are all in the realm of Enigmas. Characters with this talent link information and hunches together to solve conundrums of all varieties, from the spiritual to the material"
sleuth,Sleuth,PER,Support,Investigation,Skill 10,"The development of atention to fine details as well as logical deductions, its a skill used to make sharp remaks and perceive details which easily escape the common man. You've learned to notice details others might overlook, and might make an admirable detective. This knowledge represents not only a good eye for detail, but also an ability to do research and follow leads"
empathic_insight,Empathic Insight,PER,Support,Sense Motive,Skill 10,"You understand the emotions of others, and can sympathize with, feign sympathy for, or play on such emotions as you see fit. You are an easy hand at discerning motive, and might be able to pick up on when someone's lying to you. However, you may be so in tune with other people's feelings that your own emotions are affected"
judgement_person,Judgement (Person),PER,Support,Sense Motive,Skill 10,"you have developed the ability to know instinctively when people are not telling you the truth or not telling you the whole truth. There is a way they look, a tone of voice, a movement of the eyes - you can’t analyze it, but it’s always there and your instincts rarely let you down."
lesser_counceling,Lesser Counceling,PER,Support,Sense Motive,Skill 10,You are skilled in helping with mental stress and treating simple mental ailments (such as Derangements) without resorting to the use of behavior-altering drugs
basic_magic_theory,Basic Magic Theory,PER,Support,Spellcraft,Skill 10,"the ability to study, disect and understand magic, its a rather technical skill used to obtain understanding magic and the laws of the world"
battlecraft,Battlecraft,PER,Support,Spellcraft,Skill 10,"the ability to use and apply magic during battle in a efficient manner, it makes the casting of magic more efficient by adjusting the user to chaotic enviroments, its a nesesary skill for mage knights"
spellbreaker,SpellBreaker,PER,Support,Spellcraft,Skill 10,"the ability to break magic apart by understanding its estructure and composition, this specialized skill would allow a non-mage to counter magic using basic physical components"
broker,Broker,PER,Support,Streetwise,Skill 10,"the ability to obtain assets from the street in a informal manner, you can buy drugs, illegal o forbidden materials or obtain vital information but everything has a price. Unlike ""black market"" this skill operates in the informal exchanges rather than organized transaction"
informant,Informant,PER,Support,Streetwise,Skill 10,"the ability to gather high class information and rummors, the user will be a able to quickly obtain news and details of happenings in a city scale region"
underworld,Underworld,PER,Support,Streetwise,Skill 10,"the ability to blend into the underworld, you can claim to be part of any gang or organized crime as long as you make some info gathering first"
hounding,Hounding,PER,Support,Tracking,Skill 10,"The ability to search, seek and chase for a series of coherent marks, it is used by hunters and manhunters to search for people in dificult environments. It can also be used to search an area for specific clues where the user has a clear picture of what he is looking for."
hunting,Hunting,PER,Support,Tracking,Skill 10,"A skill focused on creating opportunities, it is used to enhace the chance of hunting wild animals by allowing the hunter to avoid begin discovered by the animal or prey and maximize oportunities."
tracing,Tracing,PER,Support,Tracking,Skill 10,"The ability to read into marks and traces in order to extract information from them, it is used by people who wants to know what happened in a near-past, when enough data has been gathered a clearer picture of the past can be drawn, however it does not produce any form of deduction or elaboration."
bravery_inter,Bravery (Inter),WIL,Support,Discipline,Skill 10,"a trained discipline can lead to confront the natural fears, thus becoming someone with great control over one's own weakness, this is mostly focused on fear and terror inducing attacks, but it also works to counter other heart affecting events in lesser measure"
martial_temperance_basic,Martial Temperance (Basic),WIL,Support,Discipline,Skill 10,"A martial warrior cultivates not only the body but also their mind and spirit. This is martial temperament, skill focused on rejecting the outside influences to attain the level of abandonment of oneself"
soldier's_way_inter,Soldier's Way (Inter),WIL,Support,Discipline,Skill 10,"The way of the soldier, a discipline trained to endure harsh conditions and stand in battle witout loosing focus despite the battlefield natural chaos."
astra_cultivation_basic,Astra Cultivation (Basic),WIL,Support,Mental Focus,Skill 10,Increase your astra slowly over time
deep_focus_intermediate,Deep Focus (Intermediate),WIL,Support,Mental Focus,Skill 10,A deeper state of focus you totally ignore your surroundings
meditation_basic,Meditation (Basic),WIL,Support,Mental Focus,Skill 10,Recover Astra Quickly and Rest in a awake state but weak recovery power
tension_focus_intermediate,Tension Focus (Intermediate),WIL,Support,Mental Focus,Skill 10,A partial focus used to cast without loosing sight of your surroundings
close_quarter_combat_basic,Close Quarter Combat (Basic),AGI,Core,Brawling,Skill 10,a specialized combat for very small spaces where kicks and punches are not allowed
kick_boxing_basic,Kick Boxing (Basic),AGI,Core,Brawling,Skill 10,a style focused in kicking using great movility and outfighting moves
pugilism_basic,Pugilism (Basic),AGI,Core,Brawling,Skill 10,fist fisting specialist a mix of defense and offense
street_fighting_intermediate,Street Fighting (Intermediate),AGI,Core,Brawling,Skill 10,"Dirty fighting at its best, the cultivated strenght of the streets of rage!!"
traditional_martial_arts_basic,Traditional Martial Arts (Basic),AGI,Core,Brawling,Skill 10,Clasical martial arts used by profesional practitioners of melee combat using only specific styles and weapons
barbarian_scoundrel_technique,Barbarian Scoundrel Technique,AGI,Core,Light Weapons,Skill 10,the technique used by barbarians in battle where the use of armor is sacrificed for higher movility while using either Mid sized weapons of types blade and blunt. It offers bonus while not using any armor or battle cloth armor
battle_hammer_technique,Battle Hammer Technique,AGI,Core,Light Weapons,Skill 10,"The specialized use of one hand blunt weapons of any type weapons including both normal size and smaller sized weapons, however, only Light weapons can be used with this technique"
footman_technique,Footman Technique,AGI,Core,Light Weapons,Skill 10,"the techique used by profesional infantry soldiers using light or middle armors, includes the use of a series of 5 weapons known as the infantry man classic weapons (Footman's Pike, Footman's Mace, Footman's Flail, Long sword and Javelin) , this technique is capable of using any variation of these 5 weapon. These weapons are rather common in any army or guardpost and this technique offers bonus while using light or middle armors"
light_blade_technique,Light Blade Technique,AGI,Core,Light Weapons,Skill 10,"The specialized use of one hand blade weapons of any type weapons including both normal size and smaller sized weapons, however, only Light weapons can be used with this technique"
pikemen_technique,Pikemen Technique,AGI,Core,Light Weapons,Skill 10,"The specialized use of one hand spear weapons and other piercing type weapons of any type weapons including both normal size and smaller sized weapons, however, only Light weapons can be used with this technique"
basic_green_blessing,"Basic, Green Blessing",CHA,Core,Nature Focus,Skill 10,"The power to channel energy of the ""green"" or Natural Force, this channel can be used to cast basic power. Green energy depends on the land and location, each landscape has some life and thus Green energy"
harmony_focus,Harmony Focus,CHA,Core,Nature Focus,Skill 10,"you turn your mind into becoming one with nature, thus your spirit becomes harmonious. Resist evil magic and influences and be welcomed by the inhabitants of nature"
lesser_nature_spirit_summoning,Lesser Nature Spirit Summoning,CHA,Core,Nature Focus,Skill 10,"the ability to summon spirits using Nature focus, harmony and offerings, its a classical staple of druids and rangers"
natural_body_focus,Natural Body Focus,CHA,Core,Nature Focus,Skill 10,the ability to conect with nature and strenghten your body by harmonizing with the natural energy
natural_sense_focus,Natural Sense Focus,CHA,Core,Nature Focus,Skill 10,the ability to conect with nature and expand your senses spiritually
"basic_""elemental""_mana_method","Basic ""Elemental"" Mana Method",INT,Core,Basic Mana Discipline,Skill 10,"Application of magic in battle, cast quicker and reduce battle penalty"
"basic_""iron""_mana_method","Basic ""Iron"" Mana Method",INT,Core,Basic Mana Discipline,Skill 10,"Application of magic in battle, become tougher and harder using mana"
elemental_commute_intermediate,Elemental Commute (Intermediate),INT,Core,Basic Mana Discipline,Skill 10,Learn to attune your senses with the elemental energies and comute with them
elemental_mana_ii_single_elemental,Elemental Mana II (Single elemental),INT,Core,Basic Mana Discipline,Skill 10,Amplify your basic element into a stronger version of itself
healing_mana_basic,Healing Mana (Basic),INT,Core,Basic Mana Discipline,Skill 10,Reinforces the user natural healing factor into healing per round
mana_conversion_basic,Mana Conversion (Basic),INT,Core,Basic Mana Discipline,Skill 10,The principles of using mana by itself as a source of energy
mental_reinforcement,Mental Reinforcement,INT,Core,Basic Mana Discipline,Skill 10,"It applies temporal feats in INT, PER or MIND when reinforcment is used"
physical_reinforcement,Physical Reinforcement,INT,Core,Basic Mana Discipline,Skill 10,"It applies temporal feats in STR, AGI or VIT when reinforcement is used"
rare_elementalism_double_elemental,Rare Elementalism (Double elemental),INT,Core,Basic Mana Discipline,Skill 10,"You learn to use a Secondary Superior element such as Darkness, Light or Force"
reinforcemen_mana_ii_intermediate,Reinforcemen Mana II (Intermediate),INT,Core,Basic Mana Discipline,Skill 10,Reinforcment applied to physical inanimate objects
square_elementalism_four_elements,Square Elementalism (Four Elements),INT,Core,Basic Mana Discipline,Skill 10,"Diversify your mana magic into 4 different elements, all elements are still basic elements"
transmutation_mana_basic,Transmutation Mana (Basic),INT,Core,Basic Mana Discipline,Skill 10,The principle of using mana to transmutate things in small scale
mana_attunnement_i_basic,Mana Attunnement I (Basic),PER,Core,Mana Sensitivity,Skill 10,the ability to harness outside mana with a direct connection to you
mana_body_intermediate,Mana Body (Intermediate),PER,Core,Mana Sensitivity,Skill 10,the ability to harness the mana inside your own body
mana_detection_intermediate,Mana Detection (Intermediate),PER,Core,Mana Sensitivity,Skill 10,Allows the user to sense magic nearby
mana_trance_basic,Mana Trance (Basic),PER,Core,Mana Sensitivity,Skill 10,The ability to inmerse yourself into the flow of mana discarding your senses
superior_mana_sensitivity,Superior Mana Sensitivity,PER,Core,Mana Sensitivity,Skill 10,The talent to understand mana better
arbalist_technique,Arbalist Technique,PER,Core,Projectile Weapons,Skill 10,"The specialized use of crossbows in all of their portatile variety from hand crossbows to heavy mounted crossbows, however, it excludes siege weapons such as ballistae or large mounted weapons. This skill attribute is PER for any rolls, however it is usable with bows with AGI attribute with no penalty"
barbarian_chaser_technique,Barbarian Chaser Technique,PER,Core,Projectile Weapons,Skill 10,"the technique used by barbarians in battle where the use of armor is sacrificed for higher movility while using either short bow, hunting bow or throwing knives. It offers bonus while not using any armor or battle cloth armor"
"basic_""falcon_warrior""_combat_method","Basic ""Falcon Warrior"" Combat Method",PER,Core,Projectile Weapons,Skill 10,"A combat method created by the Elven clans and turned into a methodical training system. It simply uses any type of short ranged projectile weapon such as the short bow, hand crossbow or the throwing blades to empower the user combat sense. Only one combat method can be active at any time"
bowman_technique,Bowman Technique,PER,Core,Projectile Weapons,Skill 10,"The specialized use of middle and short range bows such as the short bow or the hunting bow, it excludes long range bows such as the long and great bows."
crossbow_infantry_technique,Crossbow Infantry Technique,PER,Core,Projectile Weapons,Skill 10,"the technique used by by crossbow infantry soldiers or simply cross-bowmen, its a technique focused on the usage of light or winding crossbow and any similar crossbow in size and weight ranged, with light armor in order assamble a strong soldier unit. The technique is an all around technique and its the most popular ranged technique for soldiers and guards"
point_blank_technique,Point Blank Technique,PER,Core,Projectile Weapons,Skill 10,"The specialized use of short and hand bows used when used under melee conditions, it excludes long range bows such as the long and great bows, medium bows such as the hunting bow."
"basic_""bear_guardian""_combat_method","Basic ""Bear Guardian"" Combat Method",STR,Core,Heavy Armor,Skill 10,A combat method created by the Orc clans and turned into a methodical training system. It simply uses any type of middle type of armor and middle type shields to develop the user combat senses. Only one combat method can be active at any time
heavy_shield_technique_basic,Heavy Shield Technique (Basic),STR,Core,Heavy Armor,Skill 10,"A technique focuses on the use of large shields such as tower, knight and kite shields, including all middle and large shields. Its popular for knights and defenders"
infantryman_armor_technique_inter,Infantryman Armor Technique (Inter),STR,Core,Heavy Armor,Skill 10,"A technique used by hybrid and Middle type armor used to defend a position. Its a technique which maximizes the defense of middle armor while keeping a moderate mobility, you could call it an all around armor mechanic used by most soldiers"
ironclad_technique_inter,IronClad Technique (Inter),STR,Core,Heavy Armor,Skill 10,"A technique for users combining heavy armor and shield, its a technique which armonizes both armor and shield into a single style, only midle level shields and heavy armors can be used in this style."
juggernaut_armor_technique_inter,Juggernaut Armor Technique (Inter),STR,Core,Heavy Armor,Skill 10,"A technique used by heavy and colosal type of armors users, made to be slow but extremely durable, its classically refered as ""tank"" type technique"
"basic_""snake_trooper""_combat_method","Basic ""Snake Trooper"" Combat Method",STR,Core,Light Armor,Skill 10,A combat method created by the Dark Elven clans and turned into a methodical training system. It simply uses any type of Light type of armor and small shields to develop the user combat senses. Only one combat method can be active at any time
blitzclad_technique_inter,BlitzClad Technique (Inter),STR,Core,Light Armor,Skill 10,"Its called the agile defender, a technique created for troops which need high movility while keeping the advantages of a shield, it mixes partial light armor with hand shields or assambly shields, to produce a shock troops stronger defense. Its used by ambrushers and guerrilla units"
gladiatior_armor_technique_inter,Gladiatior Armor Technique (Inter),STR,Core,Light Armor,Skill 10,"A technique used by partial middle type armor or partial light armor used to cover the cover in a incomplete manner to keep movement at maxium at all times. Its a technique which maximizes the movility of the user by removing pieces of armor while keeping a moderate defense, you could call it specialized defense for attackers and damage dealers"
light_shield_technique_basic,Light Shield Technique (Basic),STR,Core,Light Armor,Skill 10,"A technique focuses on the use of small shields such as rodela, small and hand shields, including all small and assambly shields. Its popular for soldiers and vanguards"
vanguard_armor_technique_inter,Vanguard Armor Technique (Inter),STR,Core,Light Armor,Skill 10,"A technique used by complete light armors users, made to keep movility and while keeping a high atack defense, its classically refered as the standart armor for most light infantry soldiers"
axeman_technique,Axeman Technique,STR,Core,Melee Weapons,Skill 10,"The specialized use of heavy axe type weapons both in one hand and two hand forms, however, only heavy axes can be used with this technique"
barbarian_vandal_technique,Barbarian Vandal Technique,STR,Core,Melee Weapons,Skill 10,"the technique used by barbarians in battle where the use of armor is sacrificed for higher movility while using either Great blades, Great Axes or Great maces. It offers bonus while not using any armor or battle cloth armor"
heavy_blade_technique,Heavy Blade Technique,STR,Core,Melee Weapons,Skill 10,"The specialized use of heavy sword type weapons both in one hand and two hand forms, however, only heavy swords can be used with this technique"
heavy_spear_technique,Heavy Spear Technique,STR,Core,Melee Weapons,Skill 10,"The specialized use of heavy spears type weapons both in one hand and two hand forms, however, only heavy spears can be used with this technique"
tower_soldier_technique,Tower Soldier Technique,STR,Core,Melee Weapons,Skill 10,"the techique used by profesional heavy soldiers, who wield large weapons along with heavy armor. This is an entry level skill which uses only non-exotic two handed weapons such as great hammer, great sword, and heavy spear, it offers bonus while using heavy armor"
sprinter,Sprinter,AGI,Support,Athletism,Skill 10,a skill focusing athletic capacity into sprinting and running
fitness,Fitness,AGI,Support,Athletism,Skill 10,a skill focusing athletic ability into extended fitness and endurance
warhorse,WarHorse,AGI,Support,Riding,Skill 10,the skill used to ride high ranking horses such as trained warhorses and similar trained mounts
equestry,Equestry,AGI,Support,Riding,Skill 10,the skill to perform all manners of manuvers while riding a mount
showman,Showman,CHA,Support,Acting,Skill 10,"the skill to draw atention and ""act"" in way that entertains the public"
theatre,Theatre,CHA,Support,Acting,Skill 10,the skill to perform acting in a established setting with greater inmersion
musical_instrument,Musical Instrument,CHA,Support,Perform,Skill 10,the skill needed to perform with a musical instrument
singing,Singing,CHA,Support,Perform,Skill 10,"the skill needed to perform with a singing voice, skill does not guarantee the actual voice quality"
dancing,Dancing,CHA,Support,Perform,Skill 10,the skill needed to perform using body expression and similar dancing moves
anomaly_sense,Anomaly Sense,CHA,Support,Spirit Sensitivity,Skill 10,"the skill needed to perceive supernatural begins in a more consise way, still its erratic and cannot ""see"" spirits"
karmic_bond,Karmic Bond,CHA,Support,Spirit Sensitivity,Skill 10,the skill needed to bond with a spirit and feel the bonding in some degree
metalwork,Metalwork,INT,Support,Craft,Skill 10,"the skill neded to work on metal on a very rudimentary way, similar to making horseshoes or simle cookign utencils"
woodwork,Woodwork,INT,Support,Craft,Skill 10,"the skill neded to work on wood on a rough way, good for making simple furniture and basic wood tools"
gumption,Gumption,INT,Support,Culture Lore,Skill 10,"the skill to understand the way people think within a certain zone, it allows you use local customs and prejudices to your advantage"
folklore,Folklore,INT,Support,Culture Lore,Skill 10,"the lore of the folk, it lets you understand the common knowledge shared among the locals in a zone including their myths and trends"
repairs,Repairs,INT,Support,Mechanics,Skill 10,"the skill to repair mechanical items, but it cannot repair destroyed ones"
mechanic_operation,Mechanic Operation,INT,Support,Mechanics,Skill 10,the skill needed to operate mechanical devises such as vehicles or simple machines
cliffhangger,CliffHangger,STR,Support,Climbing,Skill 10,the skill to use climbing ropes and aparel in order to secure a climb where there are no natural ways
freerunning,Freerunning,STR,Support,Climbing,Skill 10,the skill to bypass obstacles using speed and rapid weight balance
potionmaking,PotionMaking,WIL,Support,Cooking,Skill 10,"the skill to create simple potions by cooking ingredients and storing them in small bottles, the skill does not provide recipes"
monster_cooking,Monster Cooking,WIL,Support,Cooking,Skill 10,the skill to cook monster meat with low toxicity in order to extract the toxic elements in the process
mending,Mending,STR,Support,HandiCraft,Skill 10,the skill to mend hard structures and similar crafts using simple trash items
survival_craft,Survival Craft,STR,Support,HandiCraft,Skill 10,the skill to handicraft items from the environment when there are little or no resources avalible
native_climate,Native Climate,STR,Support,Inclemence,Skill 10,the skill to adapt to specific climates and natural biomes by exposing to them on a regular basis
weatherproof,Weatherproof,STR,Support,Inclemence,Skill 10,the skill to endure and resist bad weather by toughening up the body and learning how to cope with each element
tunneling,Tunneling,STR,Support,Minning,Skill 10,the skill to dig the ground and create relatively stable pathway underground over a long period of time
