id,name,subject,subject_suggested,family,family_suggested,tier,bonus_category,bonus_type,text,boundary,counterweight,enhanced_threshold,enhanced_text,confidence
perk_moving_block,Moving Block,block,shield_effect,THRESHOLD,THRESHOLD,ENTRY,ABILITY,TRAINING,reduce penalty to block while moving,,,,,HIGH
perk_stubborn_shield,Stubborn Shield,damage,shield_effect,THRESHOLD,,ENTRY,ABILITY,ARMOR,shield perceives less damage from each block (as shield receive damage when used for blocking),,,,,HIGH
perk_attitude_change,Attitude Change,social_influence,diplomacy_effect,PERMISSION,,ENTRY,,,"Diplomacy can be used to influence a NPC character’s attitude. The NPC character’s initial attitude based on circumstances can be steered toward a more positive or negative outcome. There are 5 types (Hostile, Unfriendly, Indifferent, Friendly, Helpful)",,,,,HIGH
perk_corageous_heart,Corageous Heart,resistance_fear,discipline_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,MORALE,Fear Resistance -,,,,,LOW
perk_nerves_of_steel,Nerves of Steel,resistance_mental,discipline_effect,RELIABILITY,,ENTRY,,,Coolheaded,,,,,LOW
perk_fighting_spirit,Fighting Spirit,summon_power,discipline_effect,RELIABILITY,,ENTRY,,,Fighting Spirit,,,,,LOW
perk_word_in_the_street,Word in the Street,information_gain,streetwise_effect,COVERAGE,FLAT_BONUS,ENTRY,,,"Obtain extra info, not aplicable to high class events",,,,,HIGH
perk_street_vigilance,Street Vigilance,resistance_mental,streetwise_effect,PERMISSION,FLAT_BONUS,ENTRY,,,"You can place up to your PER +1 alerts on different topics, keeping tabs on people or realtime development. You will get the info with some delay depending on your check. This is limited to Low class zones, and uses 2 slots or 3 slots to investigate medium social class zones. its imposible to use in high class zones",,,,,HIGH
perk_background_check,Background Check,information_gain,streetwise_effect,COVERAGE,,ENTRY,,,Obtain more specific info about a single person or a single item.,,,,,HIGH
perk_lasting_impression,Lasting Impression,intimidation_roll,intimidation_effect,RELIABILITY,,ENTRY,,,when succesful your victims become marked and easily scared for several time units with a maximum of a week,,,,,MED
perk_terrifying_presence,Terrifying Presence,intimidation_roll,intimidation_effect,PERMISSION,,ENTRY,,,Render a victim incapable of actions for a few rounds ( only lower or equal levels),,,,,MED
perk_pokerface,Pokerface,block,bluff_effect,PERMISSION,,ENTRY,,,you can shield information about you from scrutiny,,,,,HIGH
perk_spin_a_tale,Spin a Tale,bluff_roll,bluff_effect,PERMISSION,FLAT_BONUS,ENTRY,,,you can make rather belivable tales with rather long and complex stories. The DM grants from +1 to +10 depending on the player explaining a tale.,,,,,MED
perk_teamwork,Teamwork,battle_roll,battle_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,Reduce dificulty when performing simultaneous or coordinated actions,,,,,MED
perk_flow_of_battle,Flow of Battle,battle_roll,battle_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"bonus to large scale battle roll,",,,,,MED
perk_a_subtle_push,A Subtle Push,social_deception,temptation_effect,PERMISSION,,ENTRY,,,you can make seduction or bribery attempts once per scene without begin detected. There is a hide factor equal to the temptation rating,,,,,HIGH
perk_charmer,Charmer,defense,temptation_effect,PERMISSION,,ENTRY,,,"once they come, they cannot forget about you. You can charm your customers by appealing to their greed or lust. A charmed victim is much more favorable to you and greatly lowers his defenses",,,,,HIGH
perk_fencer,Fencer,light_weapons_handling_roll,light_weapons_handling_effect,PERMISSION,PERMISSION,ENTRY,,,"Light Proficiency - Apertura de Maestria de ARMAS (o) Añade 20 pts de maestria de armas a una pre-existente solo aplicable a armas que usan el atributo AGI , solo un tipo de Arma es elegido. Ej: Hachas, Martillos, Espadas, etc",,,,,MED
perk_weapon_finnesse,Weapon Finnesse,damage,light_weapons_handling_effect,SUBSTITUTION,,ENTRY,,,AGI based Damage -,,,,,LOW
perk_blade_of_lightness,Blade of Lightness,movement_speed,light_weapons_handling_effect,SUBSTITUTION,,ENTRY,,,Fast Attribute,,,,,LOW
perk_sharpened,Sharpened,vitality,light_weapons_handling_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"Sharp - Amplificas efectos basados en Corte como Bleeding, Wound y Vorpal. Mientras esten basados en el Atributo de AGILIDAD (AGI) y provenga de un ataque fisico de melee",,,,,HIGH
perk_shrewd_merchant,Shrewd Merchant,casting_speed,comerce_effect,COVERAGE,,ENTRY,,,"you pay extreme atention to details, you are good at deals and can read the hidden motives of a deal. Obtain more info from a deal, reduce dificulty when looking for a scam",,,,,HIGH
perk_trust_is_everything,Trust is Everything,comerce_roll,comerce_effect,PERMISSION,,ENTRY,,,you start with base higher reputation and trust in business matter,,,,,MED
perk_midas_touch,Midas Touch,profit,comerce_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,CIRCUMSTANTIAL,TRAINING,Increase Profit,,,,,LOW
perk_knife_thrower,Knife Thrower,projectile_weapons_handling_roll,throwing_weapons_handling_effect,PERMISSION,PERMISSION,ENTRY,,,"Throwing Proficiency - Apertura de Maestria de ARMAS (o) Añade 20 pts de maestria de armas a una pre-existente solo aplicable a armas que usan el atributo AGI , solo un tipo de Arma es elegido. Ej: Hachas, Martillos, Espadas, etc",,,,,MED
perk_bullseye,Bullseye,attack_roll,throwing_weapons_handling_effect,,,ENTRY,,,-,,,,,LOW
perk_trick_throw,Trick Throw,projectile_weapons_handling_roll,throwing_weapons_handling_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,Penalty Reduction -,,,,,LOW
perk_blinding_speed,Blinding Speed,attack_roll,throwing_weapons_handling_effect,,,ENTRY,,,High Speed Attack -,,,,,LOW
perk_reserved_warez,Reserved Warez,casting_speed,haggle_effect,PERMISSION,,ENTRY,,,"Makes the merchant offer more special wares, Gives access to special, undisclosed or usually non-accesible warez",,,,,HIGH
perk_black_market,Black Market,haggle_roll,haggle_effect,PERMISSION,,ENTRY,,,"You can sell or purchase, special and ilicit goods. This is important to sell stolen goods",,,,,MED
perk_light_fitted,Light Fitted,armor_protection,light_armor_handling_effect,PERMISSION,,ENTRY,,,Light Armor Proficieny -,,,,,MED
perk_elastic_defense,Elastic Defense,damage,light_armor_handling_effect,SUBSTITUTION,FLAT_BONUS,ENTRY,,,"use your armor to redirect some of the impact, you can reduce damage of physical impacts by 3 pts, you NEED to move during this round for it to work, if inmovile the bonus becomes inaplicable. This can be taken multiple times to a max equal to the armor own armor rating",,,,,HIGH
perk_unhindered,Unhindered,armor_protection,light_armor_handling_effect,THRESHOLD,,ENTRY,ABILITY,ARMOR,Reduces armor penalty on the user actions,,,,,HIGH
perk_identify,Identify,apraisal_roll,apraisal_effect,COVERAGE,,ENTRY,,,"Reveal item basic nature, status and purpuses",,,,,MED
perk_eye_of_judgement,Eye of Judgement,information_gain,apraisal_effect,COVERAGE,FLAT_BONUS,ENTRY,,,extra Item Information,,,,,MED
perk_trap_locks,Trap-Locks,lockpick_roll,lockpick_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,bonus aganist trapped locks when performing lockpicks,,,,,MED
perk_great_outdoors,Great Outdoors,wilderness_roll,wilderness_effect,THRESHOLD,,ENTRY,ABILITY,TERRAIN,Reduce faigue consumption and penalty when in non-civilized enviroments,,,,,LOW
perk_rudimentary_wisdom,Rudimentary Wisdom,craft_quality,wilderness_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TERRAIN,Use Survival skill in order to use natural resource to craft makeshift comodities. Bonus to other skills with natual background such as herbalis,,,,,HIGH
perk_explorer,Explorer,information_gain,wilderness_effect,COVERAGE,,ENTRY,,,"* Reveal nearby points of interest, also, lower encounters in natural enviroment",,,,,HIGH
perk_ambusher,Ambusher,defense,hide_effect,THRESHOLD,,ENTRY,ABILITY,DODGE,Defenseless Target -,,,,,MED
perk_reaper,Reaper,attack_roll,hide_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,Coup de Grace -,,,,,LOW
perk_presence_concealment,Presence Concealment,detection,hide_effect,THRESHOLD,THRESHOLD,ENTRY,CIRCUMSTANTIAL,MAGIC,"you have a very thin presence and most of the time are ignored. Add 5 of dificulty when detecting the user using non magical, indirect means of search such as extraordinary sences such as sence of smell, intuition, etc",,,,,HIGH
perk_tough,Tough!,armor_protection,inclemence_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,* Hardened -,,,,,LOW
perk_thick_skinned,Thick Skinned,armor_protection,inclemence_effect,FLAT_BONUS,,ENTRY,ABILITY,TERRAIN,Climatic Tolerance -,,,,,MED
perk_magic_fortitude,Magic Fortitude,resistance_mana,inclemence_effect,FLAT_BONUS,,ENTRY,ABILITY,MAGIC,Mana Tolerance -,,,,,LOW
perk_iron_man,Iron Man,movement_speed,inclemence_effect,THRESHOLD,THRESHOLD,ENTRY,ABILITY,TRAINING,IronMan - Improve movement speed and reduce penalty when overburdened,,,,,HIGH
perk_quick_hands,Quick Hands,sleight_of_hand_roll,sleight_of_hand_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,Quick Hands -,,,,,LOW
perk_hidden_weapons,Hidden Weapons,attack_roll,sleight_of_hand_effect,,,ENTRY,,,Unexpected Attack -,,,,,LOW
perk_ilutionism,Ilutionism,social_deception,sleight_of_hand_effect,,,ENTRY,,,Artful & Subtle -,,,,,LOW
perk_spider_climb,Spider Climb,movement_speed,climbing_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,"Increses Speed of Climbing, Reduces dificulty of horizontal movement",,,,,HIGH
perk_action_goat,Action Goat,movement_speed,climbing_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,Allows actions while climbing and reduces penalty on movement such as jumping,,,,,HIGH
perk_windbreaker,WindBreaker,resistance_climate,climbing_effect,THRESHOLD,,ENTRY,ABILITY,TERRAIN,Reduces wind and climate penalty on climber,,,,,HIGH
perk_elemental_wand,Elemental Wand,resistance_mental,basic_single_elementalism_effect,PERMISSION,,ENTRY,,,Element Activator -,,,,,LOW
perk_elemental_attunement,Elemental Attunement,resistance_mental,basic_single_elementalism_effect,FLAT_BONUS,,ENTRY,ABILITY,MAGIC,Element Boost -,,,,,LOW
perk_nature_elemental,Nature Elemental,resistance_mental,basic_single_elementalism_effect,FLAT_BONUS,,ENTRY,ABILITY,MAGIC,Elemental Catalyst -,,,,,MED
perk_piercing_elemental,Piercing Elemental,defense,basic_single_elementalism_effect,THRESHOLD,THRESHOLD,ENTRY,ABILITY,MAGIC,Ignore Defenses -,,,,,LOW
perk_hard_worker,Hard Worker,block,minning_effect,THRESHOLD,THRESHOLD,ENTRY,ABILITY,NATURAL,Reduce Fatigue rating per block of work,,,,,HIGH
perk_stonebreaker,Stonebreaker,minning_roll,minning_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Obtain increased resource from surface level minning ( increases in proportional to the base amount),,,,,MED
perk_tireless_worker,Tireless Worker,endurance,minning_effect,THRESHOLD,,ENTRY,ABILITY,NATURAL,Greatly reduces fatigue rating from hard labour,,,,,HIGH
perk_reinforcement_wand,Reinforcement Wand,information_gain,basic_reinforcement_magic_effect,PERMISSION,,ENTRY,,,Reinforcement Activator -,,,,,HIGH
perk_physical_attunement,Physical Attunement,spell_effect,basic_reinforcement_magic_effect,FLAT_BONUS,,ENTRY,ABILITY,MAGIC,Physical Aura -,,,,,LOW
perk_personal_aura,Personal Aura,spell_effect,basic_reinforcement_magic_effect,FLAT_BONUS,,ENTRY,ABILITY,MAGIC,Self-Boost -,,,,,LOW
perk_reinforcemnt_expert,Reinforcemnt Expert,information_gain,basic_reinforcement_magic_effect,THRESHOLD,,ENTRY,CIRCUMSTANTIAL,TRAINING,"Reduce halve cost, Reduce Learning",,,,,HIGH
perk_tanning,Tanning,craft_quality,handcraft_sewing_leather_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"A bonus to the quality and time of tanning leathers, the quality increases",,,,,HIGH
perk_monster_weaver,Monster Weaver,resistance_mental,handcraft_sewing_leather_effect,PERMISSION,,ENTRY,,,"Allows the use of unusual monster materials such as nerves, tendons and other fiber like elements in the correct way",,,,,HIGH
perk_interference_wand,Interference Wand,basic_mana_discipline_roll,basic_interference_magic_effect,PERMISSION,,ENTRY,,,Interference Activator -,,,,,MED
perk_void_attunement,Void Attunement,spell_effect,basic_interference_magic_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,MAGIC,"you are good at dispelling and scatering magic, you receive a bonus when cancelling, dispelling or scattering magic, c'mon feed the void",,,,,HIGH
perk_disruptor,Disruptor,casting_speed,basic_interference_magic_effect,FLAT_BONUS,,ENTRY,ABILITY,MAGIC,"Disrupting Plus - add disruption propieties to spells, when hiting a natural target it lowers their intiative when casting or using any form of external MANA",,,,,HIGH
perk_multicast_splitting,Multicast Splitting,casting_speed,basic_interference_magic_effect,,,ENTRY,,,"by using magic disruption within the user, its posible to split the flow of mana, allowing to multicast several spells at the same time, the user atemp to multicast might fail if the user generates too many spells.",,,,,LOW
perk_stronger_wood,Stronger Wood,carry_capacity,craft_woodwork_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,EQUIPMENT,increases the durability and overall max weight strenght of a wooden tool,,,,,HIGH
perk_efficient_chippy,Efficient Chippy,craft_roll,craft_woodwork_effect,THRESHOLD,,ENTRY,ABILITY,EQUIPMENT,use less materials and time to produce the same results,,,,,MED
perk_chanting,Chanting,casting_speed,mana_sensitivity_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,Shortened Chanting -,,,,,MED
perk_prescise_casting,Prescise Casting,casting_speed,mana_sensitivity_effect,THRESHOLD,,ENTRY,ABILITY,MAGIC,Quick Casting,,,,,LOW
perk_tempering_hack,Tempering Hack,craft_quality,craft_metalwork_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,EQUIPMENT,"allows a bonus to repaired weapons, tempering gives weapon temporar bonuses",,,,,HIGH
perk_adept_smelter,Adept Smelter,craft_quality,craft_metalwork_effect,PERMISSION,,ENTRY,,,"you know how t get the best from smelting metals and draining away their impurities, you get better quality and more metals.",,,,,HIGH
perk_advanced_materials,Advanced Materials,craft_roll,craft_metalwork_effect,COVERAGE,,ENTRY,,,"you can work with one more type of material, such as steel, corumdium, monster bone, etc. Only [Iron] ranked materials",,,,,MED
perk_divided_focus,Divided Focus,mental_focus_roll,concentration_effect,COVERAGE,,ENTRY,,,you can split your focus into 2 different actions of complete different nature with reduced effectivity for both actions.,,,,,MED
perk_grease_monkey,Grease Monkey,mechanics_roll,mechanics_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Skill Bonus,,,,,LOW
perk_quick_fix,Quick-Fix,craft_quality,mechanics_effect,THRESHOLD,,ENTRY,ABILITY,EQUIPMENT,Able to perform a temporal repair on a critical moment,,,,,HIGH
perk_jury_rig,Jury Rig,craft_quality,mechanics_effect,THRESHOLD,,ENTRY,ABILITY,EQUIPMENT,Use similar materials to fix or build something. This loosens up the restrictions on materials for mechanics.,,,,,HIGH
perk_mechanist,Mechanist,mechanics_roll,mechanics_effect,PERMISSION,,ENTRY,,,Give access to more complex machines and high level technology,,,,,MED
perk_mana_tools,Mana Tools,mana_cost,magic_obj_common_effect,,,ENTRY,,,Easy Activation,,,,,LOW
perk_multi_magic_tools,Multi Magic Tools,craft_quality,magic_obj_common_effect,THRESHOLD,THRESHOLD,ENTRY,ABILITY,MAGIC,"reduce penalty when using 2 or more objects simultaneously, its nesesary to say that a object used this way halves its effects and cosumes double mana",,,,,HIGH
perk_mana_overload,Mana Overload,carry_capacity,magic_obj_common_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,MAGIC,"you are good at dealing with overloaded items, either for difusing the overload or purpursefully accelerating the collapse. Bonus to roll",,,,,HIGH
perk_handyman,Handyman,building_simple_building_digging_etc_roll,building_simple_building_digging_etc_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,Heal a increaed amount of HP from structures,,,,,MED
perk_cutting_corners,Cutting Corners,building_simple_building_digging_etc_roll,building_simple_building_digging_etc_effect,THRESHOLD,,ENTRY,ABILITY,EQUIPMENT,Reduce the amount of materials needed,,,,,MED
perk_demolition_expert,Demolition Expert,damage,building_simple_building_digging_etc_effect,PERMISSION,PERMISSION,ENTRY,,,Building Damage Proficiency -,,,,,HIGH
perk_constructor,Constructor,building_simple_building_digging_etc_roll,building_simple_building_digging_etc_effect,PERMISSION,,ENTRY,,,Give access to more complex structures,,,,,MED
perk_image_crystal,Image Crystal,magic_obj_scyring_roll,magic_obj_scyring_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,its much easier to see imágenes when using a crystal ball for scrying. Bonus when performing any visualization feat with scrying,,,,,MED
perk_record_crystal,Record Crystal,magic_obj_scyring_roll,magic_obj_scyring_effect,PERMISSION,,ENTRY,,,"you can record images in a crystal ball, the crystalball becomes useless for scrying",,,,,MED
perk_far_scry,Far Scry,magic_obj_scyring_roll,magic_obj_scyring_effect,PERMISSION,,ENTRY,,,"you can scry farther, less penalty when peforming scrying at a greater range",,,,,MED
perk_clariaudience,Clariaudience,magic_obj_scyring_roll,magic_obj_scyring_effect,PERMISSION,,ENTRY,,,"Scrying can usually only manage images, but thanks to your skill, you can somehow capture sound. It cannot capture whispers or a when people are talking in low voices",,,,,MED
perk_structural_reading,Structural Reading,information_gain,observe_effect,COVERAGE,,ENTRY,,,Obtain more info,,,,,LOW
perk_finder_of_flaws,Finder of Flaws,observe_roll,observe_effect,COVERAGE,,ENTRY,,,Structural flaws become visible,,,,,LOW
perk_structural_analyst,Structural Analyst,information_gain,observe_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,CIRCUMSTANTIAL,TRAINING,Skill Bonus,,,,,LOW
perk_demolition_man,Demolition Man,damage,observe_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,EQUIPMENT,Increase Material Damage -,,,,,HIGH
perk_boost_clading,Boost Clading,magic_obj_roll,magic_obj_shield_effect,PERMISSION,,ENTRY,,,you can add some mana to the magic clad effect to temporarily boost it for a single round this consumes a simple action or a move action,,,,,MED
perk_magic_bulkward,Magic Bulkward,block,magic_obj_shield_effect,COVERAGE,,ENTRY,,,you can add multiple defensive magic objects to a single pool of energy shield. This does not mean you can exceed your own magical object limit,,,,,HIGH
perk_magic_defense,Magic Defense,block,magic_obj_shield_effect,FLAT_BONUS,,ENTRY,ABILITY,MAGIC,"you blow out your magic clad score in order to block a single magical attack, note that if successful the magic attack becomes void and collapses, but if failing for any value the magical attack is simply not affected at all, its an all or nothing defense. the higher the defense score the higher the defense value",,,,,HIGH
perk_performer_instruments,Performer (Instruments),perform_roll,perform_music_instrument_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Bonus Skill,,,,,LOW
perk_fascinate,Fascinate,perform_roll,perform_music_instrument_effect,PERMISSION,,ENTRY,,,"use his music or poetics to cause one or more creatures to become fascinated with him. Each creature to be fascinated must be within 90 feet, able to see and hear the bard, and able to pay attention to him. The bard must also be able to see the creature.",,,,,MED
perk_inspiring_peformance,Inspiring Peformance,social_deception,perform_music_instrument_effect,FLAT_BONUS,,ENTRY,CIRCUMSTANTIAL,TRAINING,Boost Allies using music,,,,,MED
perk_countersong,Countersong,spell_effect,perform_music_instrument_effect,FLAT_BONUS,,ENTRY,ABILITY,MAGIC,music or poetics to counter magical effects that depend on sound (but not spells that simply have verbal components),,,,,LOW
perk_spirit_rood,Spirit Rood,summon_power,spiritism_faith_effect,PERMISSION,,ENTRY,,,Spirit Activator -,,,,,LOW
perk_shamanism,Shamanism,summon_power,spiritism_faith_effect,,,ENTRY,,,Spirit Charm -,,,,,LOW
perk_spirit_familiar,Spirit Familiar,summon_power,spiritism_faith_effect,,,ENTRY,,,Spirit Guardian -,,,,,LOW
perk_caller,Caller,summon_power,spiritism_faith_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,Summon Unit Boost,,,,,LOW
perk_performer_singing,Performer (Singing),perform_roll,perform_singing_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Bonus Skill,,,,,LOW
perk_booming_voice,Booming Voice,perform_roll,perform_singing_effect,COVERAGE,,ENTRY,,,"you voice can reach farther, its posible to affect a larger audience",,,,,LOW
perk_charming_peformance,Charming Peformance,perform_roll,perform_singing_effect,COVERAGE,,ENTRY,,,charm a smaller and closer audience,,,,,LOW
perk_heartfelt,Heartfelt,perform_roll,perform_singing_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Transmit emotions more vividly. (Your emotional state offer from +1 to +5 to score and the audience emotion may amplify the effects),,,,,MED
perk_truth_rood,Truth Rood,piety_roll,truth_faith_effect,PERMISSION,,ENTRY,,,Truth Activator -,,,,,LOW
perk_truth_scale,Truth Scale,armor_protection,truth_faith_effect,,,ENTRY,,,Divine Scale Armor,,,,,LOW
perk_mana_burn,Mana Burn,piety_roll,truth_faith_effect,FLAT_BONUS,,ENTRY,ABILITY,MAGIC,Mana Burn,,,,,LOW
perk_divine_oath,Divine Oath,piety_roll,truth_faith_effect,PERMISSION,,ENTRY,,,Oath to the Gods,,,,,LOW
perk_performer_show,Performer (Show),perform_roll,perform_dancing_show_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,Bonus Skill,,,,,LOW
perk_hands_and_feet,Hands and Feet,perform_roll,perform_dancing_show_effect,PERMISSION,,ENTRY,,,you can perform other actions while dancing,,,,,MED
perk_elegance_in_motion,Elegance in Motion,movement_speed,perform_dancing_show_effect,FLAT_BONUS,FLAT_BONUS,ENTRY,ABILITY,TRAINING,"your movements are refined and graceful, you get a bonus +5 in the quality or aesthetics",,,,,HIGH
perk_delirium,Delirium,perform_roll,perform_dancing_show_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,Enter a state of delirium where your performance is greatly enhaced,,,,,LOW
perk_channel_rood,Channel Rood,piety_roll,holy_light_faith_effect,PERMISSION,,ENTRY,,,Channel Activator -,,,,,LOW
perk_divine_focus,Divine Focus,piety_roll,holy_light_faith_effect,,,ENTRY,,,Altar Focus -,,,,,LOW
perk_positive_channel,Positive Channel,piety_roll,holy_light_faith_effect,,,ENTRY,,,Divine Aspect (Lesser) -,,,,,LOW
perk_visual_interpretation,Visual Interpretation,craft_roll,artcraft_drawing_painting_etc_effect,PERMISSION,,ENTRY,,,"you can absorb and interpret visual patterns, this makes it easy to remember visual images and then represent them. The player can record images and then represent them more accurately.",,,,,MED
perk_enthraling_artwork,Enthraling Artwork,craft_roll,artcraft_drawing_painting_etc_effect,FLAT_BONUS,,ENTRY,ABILITY,TRAINING,"it captures the user and gives inmersion experience, Buff, Debuff, or scare the user accordingly",,,,,LOW
perk_weird,Weird,craft_roll,artcraft_drawing_painting_etc_effect,,,ENTRY,,,Your work confuse people and affect their sanity,,,,,LOW
perk_first_aid,First Aid,healing_roll,healing_effect,PERMISSION,,ENTRY,,,Allow to perform first aid in battle without turning the target and the user into a sitting duck,,,,,MED
perk_flesh_blood,Flesh & Blood,damage,healing_effect,THRESHOLD,,ENTRY,ABILITY,TRAINING,"Reduces penalty when dealing with open wound injuries such as bleeding. Allows the healer to restore a small amount of ""WOUND"" type damage by taking one time unit for treatment",,,,,HIGH
perk_re_vitalize,Re-Vitalize,vitality,healing_effect,PERMISSION,,ENTRY,,,you can restore unconcious characters which has more than 0 HP and reset stun and dizzy effects,,,,,HIGH
perk_finecraft,Finecraft,craft_quality,artcraft_sculpting_engraving_etc_effect,PERMISSION,,ENTRY,,,you can perform finecraft or the work of fine detail and highly detail engraving and sculping,,,,,HIGH
perk_jewelry,Jewelry,craft_quality,artcraft_sculpting_engraving_etc_effect,PERMISSION,,ENTRY,,,you can craft simple jewels or add gemstones and jewels by engraving,,,,,HIGH
perk_spirit_sensitivity,Spirit Sensitivity,summon_power,spirit_sensitivity_effect,COVERAGE,,ENTRY,,,Spirit Vision -,,,,,LOW
perk_medium,Medium,spirit_sensitivity_roll,spirit_sensitivity_effect,COVERAGE,,ENTRY,,,Ghost Whisperer,,,,,LOW
perk_spirit_gate,Spirit Gate,summon_power,spirit_sensitivity_effect,COVERAGE,,ENTRY,,,Draw Spirit,,,,,LOW
perk_spiritual_force,Spiritual Force,summon_power,spirit_sensitivity_effect,PERMISSION,,ENTRY,,,Spiritual Bane -,,,,,LOW
perk_attention_magnet,Attention Magnet,acting_roll,acting_circus_entertainer_effect,,,ENTRY,,,attract more audiene,,,,,LOW
perk_riling_the_audience,Riling the Audience,acting_roll,acting_circus_entertainer_effect,PERMISSION,FLAT_BONUS,ENTRY,,,"by commenting or making simple appeals you can increase or decrease the public fervor and overall moral. When making a roll, obtain a free rise to rile the audience",,,,,MED
