id,name,perk_ids,job,authority_root_type,authority_root_id,practice_root_id,fusion_root_id,requirements,sources,rarity,zone_id,cp_cost,boundary,skill_group,block,skill_instance
lasting_impression,Lasting Impression,perk_lasting_impression,PROGRESS,SKILL,intimidation,undertaker,,SKILL_LEVEL:intimidation:5,,COMMON,,1,,WARRIOR,CORE,
terrifying_presence,Terrifying Presence,perk_terrifying_presence,PROGRESS,SKILL,intimidation,undertaker,,SKILL_LEVEL:intimidation:7,,COMMON,,1,,WARRIOR,CORE,
pokerface,Pokerface,perk_pokerface,PROGRESS,SKILL,bluff,con_man,,SKILL_LEVEL:bluff:5,,COMMON,,1,,Low Class,SUPPORT,
spin_a_tale,Spin a Tale,perk_spin_a_tale,PROGRESS,SKILL,bluff,con_man,,SKILL_LEVEL:bluff:7,,COMMON,,1,,Low Class,SUPPORT,
teamwork,Teamwork,perk_teamwork,PROGRESS,SKILL,battle,teamwork,,SKILL_LEVEL:battle:1,,COMMON,,1,,WARRIOR,CORE,
flow_of_battle,Flow of Battle,perk_flow_of_battle,PROGRESS,SKILL,battle,teamwork,,SKILL_LEVEL:battle:3,,COMMON,,1,,WARRIOR,CORE,
a_subtle_push,A Subtle Push,perk_a_subtle_push,PROGRESS,SKILL,bluff,little_devil,,SKILL_LEVEL:bluff:3,,COMMON,,1,,Low Class,SUPPORT,
charmer,Charmer,perk_charmer,PROGRESS,SKILL,bluff,little_devil,,SKILL_LEVEL:bluff:7,,COMMON,,1,,Low Class,SUPPORT,
fencer,Fencer,perk_fencer,PROGRESS,SKILL,light_weapons_handling,fencer,,SKILL_LEVEL:light_weapons_handling:1,,COMMON,,1,,ROUGE,CORE,
weapon_finnesse,Weapon Finnesse,perk_weapon_finnesse,PROGRESS,SKILL,light_weapons_handling,fencer,,SKILL_LEVEL:light_weapons_handling:3,,COMMON,,1,,ROUGE,CORE,
blade_of_lightness,Blade of Lightness,perk_blade_of_lightness,PROGRESS,SKILL,light_weapons_handling,fencer,,SKILL_LEVEL:light_weapons_handling:5,,COMMON,,1,,ROUGE,CORE,
sharpened,Sharpened,perk_sharpened,PROGRESS,SKILL,light_weapons_handling,fencer,,SKILL_LEVEL:light_weapons_handling:7,,COMMON,,1,,ROUGE,CORE,
knife_thrower,Knife Thrower,perk_knife_thrower,PROGRESS,SKILL,projectile_weapons_handling,knife_thrower,,SKILL_LEVEL:projectile_weapons_handling:1,,COMMON,,1,,ROUGE,CORE,
bullseye,Bullseye,perk_bullseye,PROGRESS,SKILL,projectile_weapons_handling,knife_thrower,,SKILL_LEVEL:projectile_weapons_handling:3,,COMMON,,1,,ROUGE,CORE,
trick_throw,Trick Throw,perk_trick_throw,PROGRESS,SKILL,projectile_weapons_handling,knife_thrower,,SKILL_LEVEL:projectile_weapons_handling:5,,COMMON,,1,,ROUGE,CORE,
blinding_speed,Blinding Speed,perk_blinding_speed,PROGRESS,SKILL,projectile_weapons_handling,knife_thrower,,SKILL_LEVEL:projectile_weapons_handling:7,,COMMON,,1,,ROUGE,CORE,
reserved_warez,Reserved Warez,perk_reserved_warez,PROGRESS,SKILL,haggle,pack_rat,,SKILL_LEVEL:haggle:5,,COMMON,,1,,Merchant,SUPPORT,
black_market,Black Market,perk_black_market,PROGRESS,SKILL,haggle,pack_rat,,SKILL_LEVEL:haggle:7,,COMMON,,1,,Merchant,SUPPORT,
light_fitted,Light Fitted,perk_light_fitted,PROGRESS,SKILL,light_armor_handling,light_fitted,,SKILL_LEVEL:light_armor_handling:1,,COMMON,,1,,ROUGE,CORE,
elastic_defense,Elastic Defense,perk_elastic_defense,PROGRESS,SKILL,light_armor_handling,light_fitted,,SKILL_LEVEL:light_armor_handling:3,,COMMON,,1,,ROUGE,CORE,
unhindered,Unhindered,perk_unhindered,PROGRESS,SKILL,light_armor_handling,light_fitted,,SKILL_LEVEL:light_armor_handling:7,,COMMON,,1,,ROUGE,CORE,
identify,Identify,perk_identify,PROGRESS,SKILL,apraisal,money_valuation,,SKILL_LEVEL:apraisal:3,,COMMON,,1,,Merchant,SUPPORT,
eye_of_judgement,Eye of Judgement,perk_eye_of_judgement,PROGRESS,SKILL,apraisal,money_valuation,,SKILL_LEVEL:apraisal:7,,COMMON,,1,,Merchant,SUPPORT,
trap_locks,Trap-Locks,perk_trap_locks,PROGRESS,SKILL,lockpick,lock_pick,,SKILL_LEVEL:lockpick:3,,COMMON,,1,,ROUGE,CORE,
great_outdoors,Great Outdoors,perk_great_outdoors,PROGRESS,SKILL,wilderness,great_outdoors,,SKILL_LEVEL:wilderness:1,,COMMON,,1,,Survivalist,SUPPORT,
rudimentary_wisdom,Rudimentary Wisdom,perk_rudimentary_wisdom,PROGRESS,SKILL,wilderness,great_outdoors,,SKILL_LEVEL:wilderness:5,,COMMON,,1,,Survivalist,SUPPORT,
explorer,Explorer,perk_explorer,PROGRESS,SKILL,wilderness,great_outdoors,,SKILL_LEVEL:wilderness:7,,COMMON,,1,,Survivalist,SUPPORT,
ambusher,Ambusher,perk_ambusher,PROGRESS,SKILL,hide,silent,,SKILL_LEVEL:hide:3,,COMMON,,1,,ROUGE,CORE,
reaper,Reaper,perk_reaper,PROGRESS,SKILL,hide,silent,,SKILL_LEVEL:hide:5,,COMMON,,1,,ROUGE,CORE,
presence_concealment,Presence Concealment,perk_presence_concealment,PROGRESS,SKILL,hide,silent,,SKILL_LEVEL:hide:7,,COMMON,,1,,ROUGE,CORE,
quick_hands,Quick Hands,perk_quick_hands,PROGRESS,SKILL,sleight_of_hand,quick_hands,,SKILL_LEVEL:sleight_of_hand:1,,COMMON,,1,,ROUGE,CORE,
hidden_weapons,Hidden Weapons,perk_hidden_weapons,PROGRESS,SKILL,sleight_of_hand,quick_hands,,SKILL_LEVEL:sleight_of_hand:3,,COMMON,,1,,ROUGE,CORE,
ilutionism,Ilutionism,perk_ilutionism,PROGRESS,SKILL,sleight_of_hand,quick_hands,,SKILL_LEVEL:sleight_of_hand:7,,COMMON,,1,,ROUGE,CORE,
spider_climb,Spider Climb,perk_spider_climb,PROGRESS,SKILL,climbing,clift_hanger,,SKILL_LEVEL:climbing:3,,COMMON,,1,,Survivalist,SUPPORT,
action_goat,Action Goat,perk_action_goat,PROGRESS,SKILL,climbing,clift_hanger,,SKILL_LEVEL:climbing:5,,COMMON,,1,,Survivalist,SUPPORT,
windbreaker,WindBreaker,perk_windbreaker,PROGRESS,SKILL,climbing,clift_hanger,,SKILL_LEVEL:climbing:7,,COMMON,,1,,Survivalist,SUPPORT,
elemental_wand,Elemental Wand,perk_elemental_wand,PROGRESS,SKILL,basic_mana_discipline,elemental_wand,,SKILL_LEVEL:basic_mana_discipline:1,,COMMON,,1,,MAGE,CORE,
elemental_attunement,Elemental Attunement,perk_elemental_attunement,PROGRESS,SKILL,basic_mana_discipline,elemental_wand,,SKILL_LEVEL:basic_mana_discipline:3,,COMMON,,1,,MAGE,CORE,
nature_elemental,Nature Elemental,perk_nature_elemental,PROGRESS,SKILL,basic_mana_discipline,elemental_wand,,SKILL_LEVEL:basic_mana_discipline:5,,COMMON,,1,,MAGE,CORE,
piercing_elemental,Piercing Elemental,perk_piercing_elemental,PROGRESS,SKILL,basic_mana_discipline,elemental_wand,,SKILL_LEVEL:basic_mana_discipline:7,,COMMON,,1,,MAGE,CORE,
hard_worker,Hard Worker,perk_hard_worker,PROGRESS,SKILL,minning,hard_worker,,SKILL_LEVEL:minning:1,,COMMON,,1,,Artisan,SUPPORT,
stonebreaker,Stonebreaker,perk_stonebreaker,PROGRESS,SKILL,minning,hard_worker,,SKILL_LEVEL:minning:3,,COMMON,,1,,Artisan,SUPPORT,
tireless_worker,Tireless Worker,perk_tireless_worker,PROGRESS,SKILL,minning,hard_worker,,SKILL_LEVEL:minning:7,,COMMON,,1,,Artisan,SUPPORT,
reinforcement_wand,Reinforcement Wand,perk_reinforcement_wand,PROGRESS,SKILL,basic_mana_discipline,reinforcement_wand,,SKILL_LEVEL:basic_mana_discipline:1,,COMMON,,1,,MAGE,CORE,
physical_attunement,Physical Attunement,perk_physical_attunement,PROGRESS,SKILL,basic_mana_discipline,reinforcement_wand,,SKILL_LEVEL:basic_mana_discipline:3,,COMMON,,1,,MAGE,CORE,
personal_aura,Personal Aura,perk_personal_aura,PROGRESS,SKILL,basic_mana_discipline,reinforcement_wand,,SKILL_LEVEL:basic_mana_discipline:5,,COMMON,,1,,MAGE,CORE,
reinforcemnt_expert,Reinforcemnt Expert,perk_reinforcemnt_expert,PROGRESS,SKILL,basic_mana_discipline,reinforcement_wand,,SKILL_LEVEL:basic_mana_discipline:7,,COMMON,,1,,MAGE,CORE,
interference_wand,Interference Wand,perk_interference_wand,PROGRESS,SKILL,basic_mana_discipline,interference_wand,,SKILL_LEVEL:basic_mana_discipline:1,,COMMON,,1,,MAGE,CORE,
void_attunement,Void Attunement,perk_void_attunement,PROGRESS,SKILL,basic_mana_discipline,interference_wand,,SKILL_LEVEL:basic_mana_discipline:3,,COMMON,,1,,MAGE,CORE,
disruptor,Disruptor,perk_disruptor,PROGRESS,SKILL,basic_mana_discipline,interference_wand,,SKILL_LEVEL:basic_mana_discipline:5,,COMMON,,1,,MAGE,CORE,
multicast_splitting,Multicast Splitting,perk_multicast_splitting,PROGRESS,SKILL,basic_mana_discipline,interference_wand,,SKILL_LEVEL:basic_mana_discipline:7,,COMMON,,1,,MAGE,CORE,
stronger_wood,Stronger Wood,perk_stronger_wood,PROGRESS,SKILL,craft,carpenter,,SKILL_LEVEL:craft.Woodwork:3,,COMMON,,1,,Artisan,SUPPORT,Woodwork
efficient_chippy,Efficient Chippy,perk_efficient_chippy,PROGRESS,SKILL,craft,carpenter,,SKILL_LEVEL:craft.Woodwork:5,,COMMON,,1,,Artisan,SUPPORT,Woodwork
chanting,Chanting,perk_chanting,PROGRESS,SKILL,mana_sensitivity,mana_trance,,SKILL_LEVEL:mana_sensitivity:3,,COMMON,,1,,MAGE,CORE,
prescise_casting,Prescise Casting,perk_prescise_casting,PROGRESS,SKILL,mana_sensitivity,mana_trance,,SKILL_LEVEL:mana_sensitivity:7,,COMMON,,1,,MAGE,CORE,
tempering_hack,Tempering Hack,perk_tempering_hack,PROGRESS,SKILL,craft,smity,,SKILL_LEVEL:craft.Metalwork:3,,COMMON,,1,,Artisan,SUPPORT,Metalwork
adept_smelter,Adept Smelter,perk_adept_smelter,PROGRESS,SKILL,craft,smity,,SKILL_LEVEL:craft.Metalwork:5,,COMMON,,1,,Artisan,SUPPORT,Metalwork
advanced_materials,Advanced Materials,perk_advanced_materials,PROGRESS,SKILL,craft,smity,,SKILL_LEVEL:craft.Metalwork:7,,COMMON,,1,,Artisan,SUPPORT,Metalwork
divided_focus,Divided Focus,perk_divided_focus,PROGRESS,SKILL,mental_focus,battle_focus,,SKILL_LEVEL:mental_focus:7,,COMMON,,1,,MAGE,CORE,
grease_monkey,Grease Monkey,perk_grease_monkey,PROGRESS,SKILL,mechanics,grease_monkey,,SKILL_LEVEL:mechanics:1,,COMMON,,1,,Engineer,SUPPORT,
quick_fix,Quick-Fix,perk_quick_fix,PROGRESS,SKILL,mechanics,grease_monkey,,SKILL_LEVEL:mechanics:3,,COMMON,,1,,Engineer,SUPPORT,
jury_rig,Jury Rig,perk_jury_rig,PROGRESS,SKILL,mechanics,grease_monkey,,SKILL_LEVEL:mechanics:5,,COMMON,,1,,Engineer,SUPPORT,
mechanist,Mechanist,perk_mechanist,PROGRESS,SKILL,mechanics,grease_monkey,,SKILL_LEVEL:mechanics:7,,COMMON,,1,,Engineer,SUPPORT,
mana_tools,Mana Tools,perk_mana_tools,PROGRESS,SKILL,magic_obj,mana_tools,,SKILL_LEVEL:magic_obj:1,,COMMON,,1,,MAGE,CORE,
multi_magic_tools,Multi Magic Tools,perk_multi_magic_tools,PROGRESS,SKILL,magic_obj,mana_tools,,SKILL_LEVEL:magic_obj:5,,COMMON,,1,,MAGE,CORE,
mana_overload,Mana Overload,perk_mana_overload,PROGRESS,SKILL,magic_obj,mana_tools,,SKILL_LEVEL:magic_obj:7,,COMMON,,1,,MAGE,CORE,
boost_clading,Boost Clading,perk_boost_clading,PROGRESS,SKILL,magic_obj,magic_clad,,SKILL_LEVEL:magic_obj:3,,COMMON,,1,,MAGE,CORE,
magic_bulkward,Magic Bulkward,perk_magic_bulkward,PROGRESS,SKILL,magic_obj,magic_clad,,SKILL_LEVEL:magic_obj:5,,COMMON,,1,,MAGE,CORE,
magic_defense,Magic Defense,perk_magic_defense,PROGRESS,SKILL,magic_obj,magic_clad,,SKILL_LEVEL:magic_obj:7,,COMMON,,1,,MAGE,CORE,
performer_instruments,Performer (Instruments),perk_performer_instruments,PROGRESS,SKILL,perform,performer_instruments,,SKILL_LEVEL:perform.Music Instrument:1,,COMMON,,1,,Bard,SUPPORT,Music Instrument
fascinate,Fascinate,perk_fascinate,PROGRESS,SKILL,perform,performer_instruments,,SKILL_LEVEL:perform.Music Instrument:3,,COMMON,,1,,Bard,SUPPORT,Music Instrument
inspiring_peformance,Inspiring Peformance,perk_inspiring_peformance,PROGRESS,SKILL,perform,performer_instruments,,SKILL_LEVEL:perform.Music Instrument:5,,COMMON,,1,,Bard,SUPPORT,Music Instrument
countersong,Countersong,perk_countersong,PROGRESS,SKILL,perform,performer_instruments,,SKILL_LEVEL:perform.Music Instrument:7,,COMMON,,1,,Bard,SUPPORT,Music Instrument
spirit_rood,Spirit Rood,perk_spirit_rood,PROGRESS,SKILL,piety,spirit_rood,,SKILL_LEVEL:piety:1,,COMMON,,1,,PRIEST,CORE,
shamanism,Shamanism,perk_shamanism,PROGRESS,SKILL,piety,spirit_rood,,SKILL_LEVEL:piety:3,,COMMON,,1,,PRIEST,CORE,
spirit_familiar,Spirit Familiar,perk_spirit_familiar,PROGRESS,SKILL,piety,spirit_rood,,SKILL_LEVEL:piety:5,,COMMON,,1,,PRIEST,CORE,
caller,Caller,perk_caller,PROGRESS,SKILL,piety,spirit_rood,,SKILL_LEVEL:piety:7,,COMMON,,1,,PRIEST,CORE,
performer_singing,Performer (Singing),perk_performer_singing,PROGRESS,SKILL,perform,performer_singing,,SKILL_LEVEL:perform.Singing:1,,COMMON,,1,,Bard,SUPPORT,Singing
booming_voice,Booming Voice,perk_booming_voice,PROGRESS,SKILL,perform,performer_singing,,SKILL_LEVEL:perform.Singing:3,,COMMON,,1,,Bard,SUPPORT,Singing
charming_peformance,Charming Peformance,perk_charming_peformance,PROGRESS,SKILL,perform,performer_singing,,SKILL_LEVEL:perform.Singing:5,,COMMON,,1,,Bard,SUPPORT,Singing
heartfelt,Heartfelt,perk_heartfelt,PROGRESS,SKILL,perform,performer_singing,,SKILL_LEVEL:perform.Singing:7,,COMMON,,1,,Bard,SUPPORT,Singing
truth_rood,Truth Rood,perk_truth_rood,PROGRESS,SKILL,piety,truth_rood,,SKILL_LEVEL:piety:1,,COMMON,,1,,PRIEST,CORE,
truth_scale,Truth Scale,perk_truth_scale,PROGRESS,SKILL,piety,truth_rood,,SKILL_LEVEL:piety:3,,COMMON,,1,,PRIEST,CORE,
mana_burn,Mana Burn,perk_mana_burn,PROGRESS,SKILL,piety,truth_rood,,SKILL_LEVEL:piety:5,,COMMON,,1,,PRIEST,CORE,
divine_oath,Divine Oath,perk_divine_oath,PROGRESS,SKILL,piety,truth_rood,,SKILL_LEVEL:piety:7,,COMMON,,1,,PRIEST,CORE,
performer_show,Performer (Show),perk_performer_show,PROGRESS,SKILL,perform,performer_show,,SKILL_LEVEL:perform.Dancing/Show:1,,COMMON,,1,,Bard,SUPPORT,Dancing/Show
hands_and_feet,Hands and Feet,perk_hands_and_feet,PROGRESS,SKILL,perform,performer_show,,SKILL_LEVEL:perform.Dancing/Show:3,,COMMON,,1,,Bard,SUPPORT,Dancing/Show
elegance_in_motion,Elegance in Motion,perk_elegance_in_motion,PROGRESS,SKILL,perform,performer_show,,SKILL_LEVEL:perform.Dancing/Show:5,,COMMON,,1,,Bard,SUPPORT,Dancing/Show
delirium,Delirium,perk_delirium,PROGRESS,SKILL,perform,performer_show,,SKILL_LEVEL:perform.Dancing/Show:7,,COMMON,,1,,Bard,SUPPORT,Dancing/Show
channel_rood,Channel Rood,perk_channel_rood,PROGRESS,SKILL,piety,channel_rood,,SKILL_LEVEL:piety:1,,COMMON,,1,,PRIEST,CORE,
divine_focus,Divine Focus,perk_divine_focus,PROGRESS,SKILL,piety,channel_rood,,SKILL_LEVEL:piety:3,,COMMON,,1,,PRIEST,CORE,
positive_channel,Positive Channel,perk_positive_channel,PROGRESS,SKILL,piety,channel_rood,,SKILL_LEVEL:piety:5,,COMMON,,1,,PRIEST,CORE,
visual_interpretation,Visual Interpretation,perk_visual_interpretation,PROGRESS,SKILL,craft,visual_artist,,SKILL_LEVEL:craft.Drawing/Painting:3,,COMMON,,1,,Bard,SUPPORT,Drawing/Painting
enthraling_artwork,Enthraling Artwork,perk_enthraling_artwork,PROGRESS,SKILL,craft,visual_artist,,SKILL_LEVEL:craft.Drawing/Painting:5,,COMMON,,1,,Bard,SUPPORT,Drawing/Painting
weird,Weird,perk_weird,PROGRESS,SKILL,craft,visual_artist,,SKILL_LEVEL:craft.Drawing/Painting:7,,COMMON,,1,,Bard,SUPPORT,Drawing/Painting
first_aid,First Aid,perk_first_aid,PROGRESS,SKILL,healing,first_aid,,SKILL_LEVEL:healing:1,,COMMON,,1,,PRIEST,CORE,
flesh_blood,Flesh & Blood,perk_flesh_blood,PROGRESS,SKILL,healing,first_aid,,SKILL_LEVEL:healing:5,,COMMON,,1,,PRIEST,CORE,
re_vitalize,Re-Vitalize,perk_re_vitalize,PROGRESS,SKILL,healing,first_aid,,SKILL_LEVEL:healing:7,,COMMON,,1,,PRIEST,CORE,
finecraft,Finecraft,perk_finecraft,PROGRESS,SKILL,craft,carver,,SKILL_LEVEL:craft.Sculpting/Engraving:5,,COMMON,,1,,Bard,SUPPORT,Sculpting/Engraving
jewelry,Jewelry,perk_jewelry,PROGRESS,SKILL,craft,carver,,SKILL_LEVEL:craft.Sculpting/Engraving:7,,COMMON,,1,,Bard,SUPPORT,Sculpting/Engraving
spirit_sensitivity,Spirit Sensitivity,perk_spirit_sensitivity,PROGRESS,SKILL,spirit_sensitivity,spirit_sensitivity,,SKILL_LEVEL:spirit_sensitivity:1,,COMMON,,1,,PRIEST,CORE,
medium,Medium,perk_medium,PROGRESS,SKILL,spirit_sensitivity,spirit_sensitivity,,SKILL_LEVEL:spirit_sensitivity:3,,COMMON,,1,,PRIEST,CORE,
spirit_gate,Spirit Gate,perk_spirit_gate,PROGRESS,SKILL,spirit_sensitivity,spirit_sensitivity,,SKILL_LEVEL:spirit_sensitivity:5,,COMMON,,1,,PRIEST,CORE,
spiritual_force,Spiritual Force,perk_spiritual_force,PROGRESS,SKILL,spirit_sensitivity,spirit_sensitivity,,SKILL_LEVEL:spirit_sensitivity:7,,COMMON,,1,,PRIEST,CORE,
attention_magnet,Attention Magnet,perk_attention_magnet,PROGRESS,SKILL,acting,attention_magnet,,SKILL_LEVEL:acting:1,,COMMON,,1,,Bard,SUPPORT,
riling_the_audience,Riling the Audience,perk_riling_the_audience,PROGRESS,SKILL,acting,attention_magnet,,SKILL_LEVEL:acting:5,,COMMON,,1,,Bard,SUPPORT,
leading_the_audience,Leading the Audience,perk_leading_the_audience,PROGRESS,SKILL,acting,attention_magnet,,SKILL_LEVEL:acting:7,,COMMON,,1,,Bard,SUPPORT,
karmic_balance,Karmic Balance,perk_karmic_balance,PROGRESS,SKILL,piety,karmic_balance,,SKILL_LEVEL:piety:1,,COMMON,,1,,PRIEST,CORE,
blessed,Blessed,perk_blessed,PROGRESS,SKILL,piety,karmic_balance,,SKILL_LEVEL:piety:3,,COMMON,,1,,PRIEST,CORE,
karmic_piety,Karmic Piety,perk_karmic_piety,PROGRESS,SKILL,piety,karmic_balance,,SKILL_LEVEL:piety:5,,COMMON,,1,,PRIEST,CORE,
zeal,Zeal,perk_zeal,PROGRESS,SKILL,piety,karmic_balance,,SKILL_LEVEL:piety:7,,COMMON,,1,,PRIEST,CORE,
other_faces,Other Faces,perk_other_faces,PROGRESS,SKILL,acting,other_faces,,SKILL_LEVEL:acting:1,,COMMON,,1,,Bard,SUPPORT,
compelling_acting,Compelling Acting,perk_compelling_acting,PROGRESS,SKILL,acting,other_faces,,SKILL_LEVEL:acting:5,,COMMON,,1,,Bard,SUPPORT,
persona,Persona,perk_persona,PROGRESS,SKILL,acting,other_faces,,SKILL_LEVEL:acting:7,,COMMON,,1,,Bard,SUPPORT,
stone_fisted,Stone Fisted,perk_stone_fisted,PROGRESS,SKILL,brawling,stone_fisted,,SKILL_LEVEL:brawling:1,,COMMON,,1,,BRAWLER,CORE,
slam_down,Slam Down!,perk_slam_down,PROGRESS,SKILL,brawling,stone_fisted,,SKILL_LEVEL:brawling:5,,COMMON,,1,,BRAWLER,CORE,
circular_force,Circular Force,perk_circular_force,PROGRESS,SKILL,brawling,circular_force,,SKILL_LEVEL:brawling:1,,COMMON,,1,,BRAWLER,CORE,
quick_recover,Quick Recover,perk_quick_recover,PROGRESS,SKILL,brawling,circular_force,,SKILL_LEVEL:brawling:3,,COMMON,,1,,BRAWLER,CORE,
ground_fight,Ground Fight,perk_ground_fight,PROGRESS,SKILL,brawling,circular_force,,SKILL_LEVEL:brawling:5,,COMMON,,1,,BRAWLER,CORE,
cook,Cook,perk_cook,PROGRESS,SKILL,cooking,cook,,SKILL_LEVEL:cooking:1,,COMMON,,1,,Farmer,SUPPORT,
exotic_gourmet,Exotic Gourmet,perk_exotic_gourmet,PROGRESS,SKILL,cooking,cook,,SKILL_LEVEL:cooking:5,,COMMON,,1,,Farmer,SUPPORT,
supernatural_cuisine,Supernatural Cuisine,perk_supernatural_cuisine,PROGRESS,SKILL,cooking,cook,,SKILL_LEVEL:cooking:7,,COMMON,,1,,Farmer,SUPPORT,
calm_will,Calm Will,perk_calm_will,PROGRESS,SKILL,still_mind_focus,calm_will,,SKILL_LEVEL:still_mind_focus:1,,COMMON,,1,,BRAWLER,CORE,
inner_balance,Inner Balance,perk_inner_balance,PROGRESS,SKILL,still_mind_focus,calm_will,,SKILL_LEVEL:still_mind_focus:5,,COMMON,,1,,BRAWLER,CORE,
heavenbound,Heavenbound,perk_heavenbound,PROGRESS,SKILL,still_mind_focus,calm_will,,SKILL_LEVEL:still_mind_focus:7,,COMMON,,1,,BRAWLER,CORE,
rancher,Rancher,perk_rancher,PROGRESS,SKILL,farming,rancher,,SKILL_LEVEL:farming:1,,COMMON,,1,,Farmer,SUPPORT,
cattle_care,Cattle Care,perk_cattle_care,PROGRESS,SKILL,farming,rancher,,SKILL_LEVEL:farming:3,,COMMON,,1,,Farmer,SUPPORT,
expert_herder,Expert Herder,perk_expert_herder,PROGRESS,SKILL,farming,rancher,,SKILL_LEVEL:farming:5,,COMMON,,1,,Farmer,SUPPORT,
champion_cattle,Champion Cattle,perk_champion_cattle,PROGRESS,SKILL,farming,rancher,,SKILL_LEVEL:farming:7,,COMMON,,1,,Farmer,SUPPORT,
enemy_sonar,Enemy Sonar,perk_enemy_sonar,PROGRESS,SKILL,alert,cautious,,SKILL_LEVEL:alert:3,,COMMON,,1,,BRAWLER,CORE,
threat_reading,Threat Reading,perk_threat_reading,PROGRESS,SKILL,alert,cautious,,SKILL_LEVEL:alert:5,,COMMON,,1,,BRAWLER,CORE,
eyes_in_the_back,Eyes in the Back,perk_eyes_in_the_back,PROGRESS,SKILL,alert,cautious,,SKILL_LEVEL:alert:7,,COMMON,,1,,BRAWLER,CORE,
field_worker,Field Worker,perk_field_worker,PROGRESS,SKILL,farming,field_worker,,SKILL_LEVEL:farming:1,,COMMON,,1,,Farmer,SUPPORT,
enrich_soil,Enrich Soil,perk_enrich_soil,PROGRESS,SKILL,farming,field_worker,,SKILL_LEVEL:farming:3,,COMMON,,1,,Farmer,SUPPORT,
